Sample	Days	Cell_type	Experiment
P11951_1475	D4H8_14	D4	D4	Exp3
P11951_1476	D4H8_13	D4	D4	Exp3
P11951_1477	D4H8_12	D4	D4	Exp3
P11951_1478	D4H8_11	D4	D4	Exp3
P11951_1479	D4H8_10	D4	D4	Exp3
P11951_1482	D5K2_7	D5	D5	Exp3
P11951_1483	D5K2_6	D5	D5	Exp3
P11951_1484	D5K2_5	D5	D5	Exp3
P11951_1485	D5K2_4	D5	D5	Exp3
P11951_1486	D5K2_3	D5	D5	Exp3
P11951_1491	D5K2_14	D5	D5	Exp3
P11951_1492	D5K2_13	D5	D5	Exp3
P11951_1495	D6J1_32	D6	D6	Exp3
P11951_1498	D5K4_7	D5	D5	Exp3
P11951_1499	D5K4_6	D5	D5	Exp3
P11951_1506	D5K6_7	D5	D5	Exp3
P11951_1508	D5K6_5	D5	D5	Exp3
P9659_4005	D4E2_4	D4	D4	Exp1
P9659_4006	D4E2_3	D4	D4	Exp1
P9659_4007	D4E2_2	D4	D4	Exp1
P9659_4008	D4E2_1	D4	D4	Exp1
P9659_4013	D4A4_4	D4	D4	Exp1
P9659_4014	D4A4_3	D4	D4	Exp1
P9659_4015	D4A4_2	D4	D4	Exp1
P9659_4016	D4A4_1	D4	D4	Exp1
P9659_4021	D4H4_4	D4	D4	Exp1
P9659_4022	D4H4_3	D4	D4	Exp1
P9659_4023	D4H4_2	D4	D4	Exp1
P9659_4024	D4H4_1	D4	D4	Exp1
P9659_4029	D4H5_4	D4	D4	Exp1
P9659_4030	D4H5_3	D4	D4	Exp1
P9659_4031	D4H5_2	D4	D4	Exp1
P9659_4032	D4H5_1	D4	D4	Exp1
P9659_4038	D5K3_11	D5	D5	Exp1
P9659_4039	D5K3_10	D5	D5	Exp1
P9659_4045	D5E2_12	D5	D5	Exp1
P9659_4046	D5E2_11	D5	D5	Exp1
P9659_4047	D5E2_10	D5	D5	Exp1
P9659_4048	D5E2_9	D5	D5	Exp1
P9659_4054	D5K3_3	D5	D5	Exp1
P9659_4055	D5K3_2	D5	D5	Exp1
P9659_4056	D5K3_1	D5	D5	Exp1
P9659_4060	D5K5_5	D5	D5	Exp1
P9659_4061	D5K5_4	D5	D5	Exp1
P9659_4062	D5K5_3	D5	D5	Exp1
P9659_4063	D5K5_2	D5	D5	Exp1
P9659_4070	D6J1_35	D6	D6	Exp1
P9659_4071	D6J1_34	D6	D6	Exp1
P9659_4072	D6J1_33	D6	D6	Exp1
P9659_4076	D6G1_5	D6	D6	Exp1
P9659_4077	D6G1_4	D6	D6	Exp1
P9659_4078	D6G1_3	D6	D6	Exp1
P9659_4079	D6G1_2	D6	D6	Exp1
P9659_4080	D6G1_1	D6	D6	Exp1
P9659_4085	D6D1_4	D6	D6	Exp1
P9659_4087	D6D1_2	D6	D6	Exp1
P9659_4088	D6D1_1	D6	D6	Exp1
P9659_4093	D6G3_52	D6	D6	Exp1
P9659_4094	D6G3_51	D6	D6	Exp1
P9659_4096	D6G3_49	D6	D6	Exp1
P9659_4099	D7E3ICM_22	D7	ICM	Exp1
P9659_4100	D7E3ICM_21	D7	ICM	Exp1
P9659_4101	D7E3ICM_20	D7	ICM	Exp1
P9659_4102	D7E3ICM_19	D7	ICM	Exp1
P9659_4103	D7E3ICM_18	D7	ICM	Exp1
P9659_4104	D7E3ICM_17	D7	ICM	Exp1
P9659_4107	D7F2ICM_14	D7	ICM	Exp1
P9659_4109	D7F2ICM_12	D7	ICM	Exp1
P9659_4110	D7F2ICM_11	D7	ICM	Exp1
P9659_4111	D7F2ICM_10	D7	ICM	Exp1
P9659_4112	D7F2ICM_9	D7	ICM	Exp1
P9659_4115	D7F2ICM_22	D7	ICM	Exp1
P9659_4116	D7F2ICM_21	D7	ICM	Exp1
P9659_4118	D7F2ICM_19	D7	ICM	Exp1
P9659_4119	D7F2ICM_18	D7	ICM	Exp1
P9659_4120	D7F2ICM_17	D7	ICM	Exp1
P9659_4125	D7C1ICM_12	D7	ICM	Exp1
P9659_4126	D7C1ICM_11	D7	ICM	Exp1
P9659_4127	D7C1ICM_10	D7	ICM	Exp1
P9659_4128	D7C1ICM_9	D7	ICM	Exp1
P9659_4129	D7C1ICM_16	D7	ICM	Exp1
P9659_4130	D7C1ICM_15	D7	ICM	Exp1
P9659_4131	D7C1ICM_14	D7	ICM	Exp1
P9659_4132	D7C1ICM_13	D7	ICM	Exp1
P9659_4133	D7C1ICM_12	D7	ICM	Exp1
P9659_4134	D7C1ICM_11	D7	ICM	Exp1
P9659_4135	D7C1ICM_10	D7	ICM	Exp1
P9659_4136	D7C1ICM_9	D7	ICM	Exp1
P9659_4137	D7F1ICM_16	D7	ICM	Exp1
P9659_4138	D7F1ICM_15	D7	ICM	Exp1
P9659_4139	D7F1ICM_14	D7	ICM	Exp1
P9659_4140	D7F1ICM_13	D7	ICM	Exp1
P9659_4141	D7F1ICM_12	D7	ICM	Exp1
P9659_4142	D7F1ICM_11	D7	ICM	Exp1
P9659_4143	D7F1ICM_10	D7	ICM	Exp1
P9659_4144	D7F1ICM_9	D7	ICM	Exp1
P9659_4145	D7F2M_8	D7	TE	Exp1
P9659_4147	D7F2M_6	D7	TE	Exp1
P9659_4148	D7F2M_5	D7	TE	Exp1
P9659_4149	D7F2M_4	D7	TE	Exp1
P9659_4150	D7F2M_3	D7	TE	Exp1
P9659_4151	D7F2M_2	D7	TE	Exp1
P9659_4152	D7F2M_1	D7	TE	Exp1
P9659_4153	D7E1ICM_24	D7	ICM	Exp1
P9659_4154	D7E1ICM_23	D7	ICM	Exp1
P9659_4156	D7E1ICM_21	D7	ICM	Exp1
P9659_4157	D7E1ICM_20	D7	ICM	Exp1
P9659_4158	D7E1ICM_19	D7	ICM	Exp1
P9659_4159	D7E1ICM_18	D7	ICM	Exp1
P9659_4160	D7E1ICM_17	D7	ICM	Exp1
P9659_4163	D7L2M_30	D7	TE	Exp1
P9659_4164	D7L2M_29	D7	TE	Exp1
P9659_4165	D7L2M_28	D7	TE	Exp1
P9659_4166	D7L2M_27	D7	TE	Exp1
P9659_4167	D7L2M_26	D7	TE	Exp1
P9659_4168	D7L2M_25	D7	TE	Exp1
P9659_4173	D7C1M_36	D7	TE	Exp1
